english,spanish,en_fk,es_fk,fk_diff
The weather is beautiful today.,El clima está hermoso hoy.,14.68,5.240000000000002,9.439999999999998
She reads books every evening.,Ella lee libros todas las noches.,9.96,8.383333333333333,1.576666666666668
The children play in the park.,Los niños juegan en el parque.,0.5166666666666693,8.383333333333333,7.866666666666664
We need to solve this problem.,Necesitamos resolver este problema.,4.450000000000003,24.320000000000004,19.87
The meeting starts at three o'clock.,La reunión comienza a las tres.,6.416666666666668,8.383333333333333,1.966666666666665
He works at a technology company.,Él trabaja en una empresa de tecnología.,4.450000000000003,12.425714285714289,7.975714285714286
The restaurant serves excellent food.,El restaurante sirve comida excelente.,14.68,21.76000000000001,7.080000000000009
They travel to different countries.,Ellos viajan a diferentes países.,12.320000000000004,14.68,2.359999999999996
The teacher explains the lesson clearly.,El profesor explica la lección claramente.,10.350000000000001,14.283333333333335,3.9333333333333336
We celebrate birthdays with cake.,Celebramos los cumpleaños con pastel.,9.96,14.68,4.719999999999999
The dog runs through the garden.,El perro corre por el jardín.,2.4833333333333343,2.4833333333333343,0.0
She studies medicine at university.,Ella estudia medicina en la universidad.,17.040000000000003,20.18333333333334,3.143333333333338
The movie was very interesting.,La película fue muy interesante.,9.96,14.68,4.719999999999999
They built a new house last year.,Construyeron una casa nueva el año pasado.,5.682857142857145,15.797142857142859,10.114285714285714
The coffee tastes better with sugar.,El café sabe mejor con azúcar.,8.383333333333333,4.450000000000003,3.93333333333333
We walk along the beach every morning.,Caminamos por la playa cada mañana.,5.682857142857145,12.316666666666666,6.633809523809521
The library has thousands of books.,La biblioteca tiene miles de libros.,6.416666666666668,14.283333333333335,7.866666666666667
He plays guitar in a band.,Él toca guitarra en una banda.,2.4833333333333343,10.350000000000001,7.866666666666667
The train arrives at noon.,El tren llega al mediodía.,7.600000000000001,7.600000000000001,0.0
She writes articles for newspapers.,Ella escribe artículos para periódicos.,9.96,19.400000000000002,9.440000000000001
The city lights shine at night.,Las luces de la ciudad brillan por la noche.,0.5166666666666693,6.2755555555555596,5.75888888888889
We need more time to finish.,Necesitamos más tiempo para terminar.,6.416666666666668,19.400000000000002,12.983333333333334
The flowers bloom in spring.,Las flores florecen en primavera.,2.879999999999999,12.320000000000004,9.440000000000005
He teaches mathematics to students.,Él enseña matemáticas a los estudiantes.,12.320000000000004,16.25,3.929999999999996
The computer needs a software update.,La computadora necesita una actualización de software.,12.316666666666666,24.225714285714286,11.90904761904762
They dance at the festival.,Ellos bailan en el festival.,5.240000000000002,9.96,4.719999999999999
The museum displays ancient artifacts.,El museo exhibe artefactos antiguos.,14.68,21.76000000000001,7.080000000000009
We cook dinner together every Sunday.,Cocinamos la cena juntos cada domingo.,10.350000000000001,14.283333333333335,3.9333333333333336
The birds sing in the morning.,Los pájaros cantan por la mañana.,0.5166666666666693,6.416666666666668,5.899999999999999
She paints beautiful landscapes.,Ella pinta hermosos paisajes.,18.420000000000005,18.420000000000005,0.0
The store opens at eight o'clock.,La tienda abre a las ocho.,6.416666666666668,6.416666666666668,0.0
They study languages at school.,Ellos estudian idiomas en la escuela.,7.600000000000001,18.216666666666672,10.61666666666667
The river flows through the valley.,El río fluye por el valle.,4.450000000000003,2.4833333333333343,1.9666666666666686
We watch movies on weekends.,Vemos películas los fines de semana.,7.600000000000001,10.350000000000001,2.75
The scientist conducts important research.,El científico realiza investigaciones importantes.,14.68,33.56,18.880000000000003
